
tid=14552 lastUpdateUs=7364357129 state=ThreadPool.Worker.AtomicWait
tid=22236 lastUpdateUs=7366271667 state=ThreadPool.Worker.Spin
tid=12696 lastUpdateUs=7366271588 state=ThreadPool.Worker.Spin
tid=21908 lastUpdateUs=7366271706 state=ThreadPool.Worker.AtomicWait
tid=25536 lastUpdateUs=7364357014 state=ThreadPool.Worker.AtomicWait
tid=5188 lastUpdateUs=7366271595 state=ThreadPool.Worker.Spin
tid=8008 lastUpdateUs=7366271643 state=ThreadPool.Worker.AtomicWait
-- SectionsTop --
Collider.Update us=1914846 calls=1
Collider.UpdateFrame us=1914839 calls=1
Collider.CheckDetailedCollisions us=1914681 calls=1
Collider.ProcessPairEvents us=1914243 calls=1
Collider.BuildCurrentPairs us=395 calls=1
Collider.SpatialPartitioning us=365 calls=1
ThreadPool.Barrier.SpinWait us=248 calls=3
Collider.SweptAABB us=152 calls=1
Collider.UpdateAllShapes us=147 calls=1
Collider.GridMerge us=75 calls=1
Physics.SolveAllIslands us=43 calls=1
Collider.NarrowPhase us=34 calls=1
Collider.GridCellCompute us=33 calls=1
Physics.BuildLookupCaches us=22 calls=1
Physics.SplitImpulseCorrection us=22 calls=1
Physics.GenerateSpeculativeContacts us=18 calls=1

[HANG] frame=4357 sinceHeartbeatUs=17781358
-- ThreadStates --
tid=12020 lastUpdateUs=7450500085 state=ThreadPool.Worker.AtomicWait
tid=24116 lastUpdateUs=7450500087 state=ThreadPool.Worker.AtomicWait
tid=13876 lastUpdateUs=7450500210 state=Collider.ProcessPairEvents
tid=26384 lastUpdateUs=7450500157 state=ThreadPool.Worker.AtomicWait
tid=19368 lastUpdateUs=7450500003 state=ThreadPool.Worker.AtomicWait
tid=21320 lastUpdateUs=7450500005 state=ThreadPool.Worker.AtomicWait
tid=8260 lastUpdateUs=7450500160 state=ThreadPool.Worker.AtomicWait
tid=6240 lastUpdateUs=7450500090 state=ThreadPool.Worker.AtomicWait
tid=11364 lastUpdateUs=7450500198 state=ThreadPool.Worker.AtomicWait
tid=16852 lastUpdateUs=7450500124 state=ThreadPool.Worker.AtomicWait
tid=24616 lastUpdateUs=7450500267 state=ThreadPool.Worker.AtomicWait
tid=18464 lastUpdateUs=7450500185 state=ThreadPool.Worker.AtomicWait
tid=8688 lastUpdateUs=7450500182 state=ThreadPool.Worker.AtomicWait
tid=20036 lastUpdateUs=7450500124 state=ThreadPool.Worker.AtomicWait
tid=22524 lastUpdateUs=7450500168 state=ThreadPool.Worker.AtomicWait
tid=11708 lastUpdateUs=7450500002 state=ThreadPool.Worker.AtomicWait
-- SectionsTop --
Collider.ProcessPairEvents us=34729671 calls=1
Collider.BuildCurrentPairs us=711 calls=1
Collider.SpatialPartitioning us=704 calls=1
Collider.GridCellCompute us=359 calls=1
Collider.GridMerge us=111 calls=1
Collider.UpdateAllShapes us=108 calls=1
Physics.BuildLookupCaches us=31 calls=1
Collider.NarrowPhase us=20 calls=1
Physics.IntegrateBodies us=9 calls=1
Collider.BroadPhase us=8 calls=1
Collider.SweptAABB us=7 calls=1
Collider.ActiveCollect us=5 calls=1

[HANG] frame=1415 sinceHeartbeatUs=16294238
-- ThreadStates --
tid=2512 lastUpdateUs=7940272682 state=Idle
tid=4320 lastUpdateUs=7938612592 state=ThreadPool.Worker.AtomicWait
tid=20664 lastUpdateUs=7938613033 state=ThreadPool.Worker.AtomicWait
tid=22608 lastUpdateUs=7938612537 state=ThreadPool.Worker.AtomicWait
tid=11444 lastUpdateUs=7938612410 state=ThreadPool.Worker.AtomicWait
tid=25228 lastUpdateUs=7938612464 state=ThreadPool.Worker.AtomicWait
tid=2092 lastUpdateUs=7938612750 state=ThreadPool.Worker.AtomicWait
tid=19552 lastUpdateUs=7938612623 state=ThreadPool.Worker.AtomicWait
tid=14080 lastUpdateUs=7938612681 state=ThreadPool.Worker.AtomicWait
tid=3476 lastUpdateUs=7938612780 state=ThreadPool.Worker.AtomicWait
tid=25652 lastUpdateUs=7938612850 state=ThreadPool.Worker.AtomicWait
tid=2064 lastUpdateUs=7938612810 state=ThreadPool.Worker.AtomicWait
tid=18836 lastUpdateUs=7938612893 state=ThreadPool.Worker.AtomicWait
tid=11024 lastUpdateUs=7938612934 state=ThreadPool.Worker.AtomicWait
tid=10652 lastUpdateUs=7938612966 state=ThreadPool.Worker.AtomicWait
tid=17148 lastUpdateUs=7938613005 state=ThreadPool.Worker.AtomicWait
-- SectionsTop --

[HANG] frame=1415 sinceHeartbeatUs=23375158
-- ThreadStates --
tid=2512 lastUpdateUs=7940272682 state=Idle
tid=4320 lastUpdateUs=7938612592 state=ThreadPool.Worker.AtomicWait
tid=20664 lastUpdateUs=7938613033 state=ThreadPool.Worker.AtomicWait
tid=22608 lastUpdateUs=7938612537 state=ThreadPool.Worker.AtomicWait
tid=11444 lastUpdateUs=7938612410 state=ThreadPool.Worker.AtomicWait
tid=25228 lastUpdateUs=7938612464 state=ThreadPool.Worker.AtomicWait
tid=2092 lastUpdateUs=7938612750 state=ThreadPool.Worker.AtomicWait
tid=19552 lastUpdateUs=7938612623 state=ThreadPool.Worker.AtomicWait
tid=14080 lastUpdateUs=7938612681 state=ThreadPool.Worker.AtomicWait
tid=3476 lastUpdateUs=7938612780 state=ThreadPool.Worker.AtomicWait
tid=25652 lastUpdateUs=7938612850 state=ThreadPool.Worker.AtomicWait
tid=2064 lastUpdateUs=7938612810 state=ThreadPool.Worker.AtomicWait
tid=18836 lastUpdateUs=7938612893 state=ThreadPool.Worker.AtomicWait
tid=11024 lastUpdateUs=7938612934 state=ThreadPool.Worker.AtomicWait
tid=10652 lastUpdateUs=7938612966 state=ThreadPool.Worker.AtomicWait
tid=17148 lastUpdateUs=7938613005 state=ThreadPool.Worker.AtomicWait
-- SectionsTop --

[HANG] frame=1909 sinceHeartbeatUs=3250615
-- ThreadStates --
tid=4460 lastUpdateUs=7982614645 state=Idle
tid=17528 lastUpdateUs=7980395788 state=ThreadPool.Worker.AtomicWait
tid=22632 lastUpdateUs=7980396259 state=ThreadPool.Worker.AtomicWait
tid=18144 lastUpdateUs=7980396514 state=ThreadPool.Worker.AtomicWait
tid=8836 lastUpdateUs=7980396436 state=ThreadPool.Worker.AtomicWait
tid=1768 lastUpdateUs=7980396774 state=ThreadPool.Worker.AtomicWait
tid=10876 lastUpdateUs=7980396336 state=ThreadPool.Worker.AtomicWait
tid=27184 lastUpdateUs=7980396396 state=ThreadPool.Worker.AtomicWait
tid=9032 lastUpdateUs=7980396551 state=ThreadPool.Worker.AtomicWait
tid=7852 lastUpdateUs=7980396596 state=ThreadPool.Worker.AtomicWait
tid=22024 lastUpdateUs=7980396629 state=ThreadPool.Worker.AtomicWait
tid=21276 lastUpdateUs=7980396661 state=ThreadPool.Worker.AtomicWait
tid=11324 lastUpdateUs=7980396854 state=ThreadPool.Worker.AtomicWait
tid=11256 lastUpdateUs=7980396910 state=ThreadPool.Worker.AtomicWait
tid=15496 lastUpdateUs=7980396998 state=ThreadPool.Worker.AtomicWait
tid=21328 lastUpdateUs=7980397050 state=ThreadPool.Worker.AtomicWait
-- SectionsTop --

[HANG] frame=3464 sinceHeartbeatUs=4266403
-- ThreadStates --
tid=5860 lastUpdateUs=8438482655 state=ThreadPool.Worker.Spin
tid=10880 lastUpdateUs=8438482995 state=Physics.StepSimulation
tid=6020 lastUpdateUs=8438483178 state=ThreadPool.Worker.AtomicWait
tid=3868 lastUpdateUs=8438483174 state=ThreadPool.Worker.AtomicWait
tid=240 lastUpdateUs=8438482737 state=ThreadPool.Worker.Spin
tid=14024 lastUpdateUs=8438482616 state=ThreadPool.Worker.Spin
tid=24064 lastUpdateUs=8438482915 state=ThreadPool.Worker.AtomicWait
tid=2748 lastUpdateUs=8438482900 state=ThreadPool.Worker.AtomicWait
tid=9408 lastUpdateUs=8438482629 state=ThreadPool.Worker.Spin
tid=8572 lastUpdateUs=8434217049 state=ThreadPool.Worker.AtomicWait
tid=26780 lastUpdateUs=8438482629 state=ThreadPool.Worker.ProcessChunks
tid=15088 lastUpdateUs=8438482985 state=ThreadPool.Worker.ProcessChunks
tid=8328 lastUpdateUs=8438482724 state=ThreadPool.Worker.Spin
tid=14792 lastUpdateUs=8438482791 state=ThreadPool.Worker.AtomicWait
tid=18280 lastUpdateUs=8438483284 state=ThreadPool.Worker.AtomicWait
tid=4156 lastUpdateUs=8438482661 state=ThreadPool.Worker.Spin
-- SectionsTop --
Collider.Update us=4265959 calls=1
Collider.UpdateFrame us=4265951 calls=1
Collider.CheckDetailedCollisions us=4265565 calls=1
Collider.ProcessPairEvents us=4264518 calls=1
Collider.BuildCurrentPairs us=1006 calls=1
Collider.SpatialPartitioning us=1000 calls=1
Collider.NarrowPhase us=585 calls=1
Collider.UpdateAllShapes us=282 calls=1
Collider.GridCellCompute us=203 calls=1
Collider.GridMerge us=84 calls=1
ThreadPool.Barrier.SpinWait us=83 calls=2
Physics.SolveAllIslands us=60 calls=1
Physics.SplitImpulseCorrection us=43 calls=1
Physics.BuildLookupCaches us=30 calls=1
Collider.SweptAABB us=19 calls=1
Physics.GenerateSpeculativeContacts us=17 calls=1

[HANG] frame=12530 sinceHeartbeatUs=1615403
-- ThreadStates --
tid=5860 lastUpdateUs=8450368587 state=ThreadPool.Worker.AtomicWait
tid=10880 lastUpdateUs=8454717884 state=Idle
tid=6020 lastUpdateUs=8450368598 state=ThreadPool.Worker.AtomicWait
tid=3868 lastUpdateUs=8450368593 state=ThreadPool.Worker.AtomicWait
tid=240 lastUpdateUs=8450368621 state=ThreadPool.Worker.AtomicWait
tid=14024 lastUpdateUs=8450368601 state=ThreadPool.Worker.AtomicWait
tid=24064 lastUpdateUs=8450368519 state=ThreadPool.Worker.AtomicWait
tid=2748 lastUpdateUs=8450368497 state=ThreadPool.Worker.AtomicWait
tid=9408 lastUpdateUs=8450368536 state=ThreadPool.Worker.AtomicWait
tid=8572 lastUpdateUs=8450368613 state=ThreadPool.Worker.AtomicWait
tid=26780 lastUpdateUs=8450368691 state=ThreadPool.Worker.AtomicWait
tid=15088 lastUpdateUs=8450368656 state=ThreadPool.Worker.AtomicWait
tid=8328 lastUpdateUs=8450368525 state=ThreadPool.Worker.AtomicWait
tid=14792 lastUpdateUs=8450368712 state=ThreadPool.Worker.AtomicWait
tid=18280 lastUpdateUs=8450368516 state=ThreadPool.Worker.AtomicWait
tid=4156 lastUpdateUs=8450368617 state=ThreadPool.Worker.AtomicWait
-- SectionsTop --

[HANG] frame=12530 sinceHeartbeatUs=2619517
-- ThreadStates --
tid=5860 lastUpdateUs=8450368587 state=ThreadPool.Worker.AtomicWait
tid=10880 lastUpdateUs=8454717884 state=Idle
tid=6020 lastUpdateUs=8450368598 state=ThreadPool.Worker.AtomicWait
tid=3868 lastUpdateUs=8450368593 state=ThreadPool.Worker.AtomicWait
tid=240 lastUpdateUs=8450368621 state=ThreadPool.Worker.AtomicWait
tid=14024 lastUpdateUs=8450368601 state=ThreadPool.Worker.AtomicWait
tid=24064 lastUpdateUs=8450368519 state=ThreadPool.Worker.AtomicWait
tid=2748 lastUpdateUs=8450368497 state=ThreadPool.Worker.AtomicWait
tid=9408 lastUpdateUs=8450368536 state=ThreadPool.Worker.AtomicWait
tid=8572 lastUpdateUs=8450368613 state=ThreadPool.Worker.AtomicWait
tid=26780 lastUpdateUs=8450368691 state=ThreadPool.Worker.AtomicWait
tid=15088 lastUpdateUs=8450368656 state=ThreadPool.Worker.AtomicWait
tid=8328 lastUpdateUs=8450368525 state=ThreadPool.Worker.AtomicWait
tid=14792 lastUpdateUs=8450368712 state=ThreadPool.Worker.AtomicWait
tid=18280 lastUpdateUs=8450368516 state=ThreadPool.Worker.AtomicWait
tid=4156 lastUpdateUs=8450368617 state=ThreadPool.Worker.AtomicWait
-- SectionsTop --

[HANG] frame=209649 sinceHeartbeatUs=1673550
-- ThreadStates --
tid=22972 lastUpdateUs=5207415676 state=ThreadPool.Worker.AtomicWait
tid=19728 lastUpdateUs=5207415600 state=ThreadPool.Worker.AtomicWait
tid=7528 lastUpdateUs=5207417883 state=Idle
tid=19396 lastUpdateUs=5207415642 state=ThreadPool.Worker.AtomicWait
tid=21292 lastUpdateUs=5207415653 state=ThreadPool.Worker.AtomicWait
